# STEVAL-MKI168V1 (IIS2DH) 

time[us],acc_x[mg],acc_y[mg],acc_z[mg],acc_x[LSB],acc_y[LSB],acc_z[LSB],int_1,int_2
38227160,-6.000,21.000,1104.000,-6,21,1104,0,0
38227913,-12.000,32.000,1085.000,-12,32,1085,0,0
38228664,-6.000,36.000,1095.000,-6,36,1095,0,0
38229415,-12.000,22.000,1100.000,-12,22,1100,0,0
38230174,-9.000,34.000,1077.000,-9,34,1077,0,0
38230926,-6.000,23.000,1095.000,-6,23,1095,0,0
38231676,-14.000,21.000,1095.000,-14,21,1095,0,0
38232427,-4.000,33.000,1095.000,-4,33,1095,0,0
38233179,-5.000,17.000,1108.000,-5,17,1108,0,0
38233931,-11.000,31.000,1093.000,-11,31,1093,0,0
38234682,-2.000,29.000,1098.000,-2,29,1098,0,0
38235435,-13.000,20.000,1106.000,-13,20,1106,0,0
38236194,-8.000,35.000,1090.000,-8,35,1090,0,0
38236946,-6.000,30.000,1100.000,-6,30,1100,0,0
38237698,-13.000,28.000,1100.000,-13,28,1100,0,0
38238449,-7.000,38.000,1091.000,-7,38,1091,0,0
38239200,-8.000,23.000,1107.000,-8,23,1107,0,0
38239951,-13.000,35.000,1093.000,-13,35,1093,0,0
38240703,-12.000,34.000,1099.000,-12,34,1099,0,0
38241456,-14.000,20.000,1109.000,-14,20,1109,0,0
38242208,-7.000,37.000,1088.000,-7,37,1088,0,0
38242959,-4.000,27.000,1110.000,-4,27,1110,0,0
38243718,-12.000,27.000,1095.000,-12,27,1095,0,0
38244471,-7.000,38.000,1090.000,-7,38,1090,0,0
38245223,-8.000,23.000,1108.000,-8,23,1108,0,0
38245974,-11.000,35.000,1083.000,-11,35,1083,0,0
38246726,-7.000,33.000,1094.000,-7,33,1094,0,0
38247476,-8.000,20.000,1107.000,-8,20,1107,0,0
38248227,-8.000,39.000,1095.000,-8,39,1095,0,0
38248987,-7.000,28.000,1114.000,-7,28,1114,0,0
38249739,-11.000,30.000,1095.000,-11,30,1095,0,0
38250490,-11.000,36.000,1092.000,-11,36,1092,0,0
38251240,-10.000,24.000,1112.000,-10,24,1112,0,0
38251991,-12.000,34.000,1088.000,-12,34,1088,0,0
38252742,-3.000,29.000,1102.000,-3,29,1102,0,0
38253501,-12.000,22.000,1108.000,-12,22,1108,0,0
38254254,-6.000,37.000,1086.000,-6,37,1086,0,0
38255006,-7.000,27.000,1109.000,-7,27,1109,0,0
38255757,-12.000,27.000,1096.000,-12,27,1096,0,0
38256508,-1.000,36.000,1094.000,-1,36,1094,0,0
38257261,-11.000,20.000,1112.000,-11,20,1112,0,0
38258013,-11.000,32.000,1086.000,-11,32,1086,0,0
38258765,-4.000,31.000,1101.000,-4,31,1101,0,0
38259516,-8.000,19.000,1108.000,-8,19,1108,0,0
38260276,-6.000,38.000,1090.000,-6,38,1090,0,0
38261027,-7.000,26.000,1108.000,-7,26,1108,0,0
38261778,-12.000,28.000,1094.000,-12,28,1094,0,0
38262531,-8.000,35.000,1095.000,-8,35,1095,0,0
38263283,-8.000,22.000,1112.000,-8,22,1112,0,0
38264035,-7.000,33.000,1090.000,-7,33,1090,0,0
38264786,-2.000,33.000,1098.000,-2,33,1098,0,0
38265537,-8.000,21.000,1100.000,-8,21,1100,0,0
38266289,-7.000,37.000,1086.000,-7,37,1086,0,0
38267040,-3.000,22.000,1103.000,-3,22,1103,0,0
38267798,-10.000,24.000,1088.000,-10,24,1088,0,0
38268551,-5.000,32.000,1084.000,-5,32,1084,0,0
38269303,-7.000,19.000,1099.000,-7,19,1099,0,0
38270055,-7.000,35.000,1086.000,-7,35,1086,0,0
38270807,-7.000,31.000,1099.000,-7,31,1099,0,0
38271559,-14.000,20.000,1103.000,-14,20,1103,0,0
38272311,-12.000,33.000,1088.000,-12,33,1088,0,0
38273063,-12.000,22.000,1109.000,-12,22,1109,0,0
38273815,-14.000,28.000,1094.000,-14,28,1094,0,0
38274567,-12.000,33.000,1094.000,-12,33,1094,0,0
38275319,-16.000,18.000,1103.000,-16,18,1103,0,0
38276071,-9.000,32.000,1086.000,-9,32,1086,0,0
38276823,-5.000,27.000,1092.000,-5,27,1092,0,0
38277575,-14.000,19.000,1098.000,-14,19,1098,0,0
38278327,-9.000,35.000,1085.000,-9,35,1085,0,0
38279078,-11.000,23.000,1100.000,-11,23,1100,0,0
38279830,-13.000,26.000,1085.000,-13,26,1085,0,0
38280582,-4.000,30.000,1087.000,-4,30,1087,0,0
38281339,-9.000,17.000,1105.000,-9,17,1105,0,0
38282091,-8.000,35.000,1081.000,-8,35,1081,0,0
38282842,-5.000,25.000,1104.000,-5,25,1104,0,0
38283594,-15.000,13.000,1103.000,-15,13,1103,0,0
38284345,-9.000,28.000,1084.000,-9,28,1084,0,0
38285096,-9.000,20.000,1107.000,-9,20,1107,0,0
38285848,-9.000,21.000,1092.000,-9,21,1092,0,0
38286607,-1.000,30.000,1101.000,-1,30,1101,0,0
38287358,-7.000,16.000,1115.000,-7,16,1115,0,0
38288111,-5.000,33.000,1092.000,-5,33,1092,0,0
38288862,-5.000,23.000,1105.000,-5,23,1105,0,0
38289614,-8.000,13.000,1109.000,-8,13,1109,0,0
38290365,-4.000,28.000,1097.000,-4,28,1097,0,0
38291116,-6.000,17.000,1121.000,-6,17,1121,0,0
38291873,-5.000,26.000,1091.000,-5,26,1091,0,0
38292626,-1.000,29.000,1092.000,-1,29,1092,0,0
38293378,-9.000,17.000,1108.000,-9,17,1108,0,0
38294129,-9.000,34.000,1089.000,-9,34,1089,0,0
38294880,-5.000,25.000,1104.000,-5,25,1104,0,0
38295632,-7.000,19.000,1107.000,-7,19,1107,0,0
38296384,-1.000,32.000,1096.000,-1,32,1096,0,0
38297136,-2.000,22.000,1105.000,-2,22,1105,0,0
38297887,-9.000,29.000,1095.000,-9,29,1095,0,0
38298639,-5.000,31.000,1095.000,-5,31,1095,0,0
38299399,-14.000,21.000,1112.000,-14,21,1112,0,0
38300149,-13.000,39.000,1092.000,-13,39,1092,0,0
38300901,-11.000,26.000,1108.000,-11,26,1108,0,0
38301653,-11.000,20.000,1104.000,-11,20,1104,0,0
38302404,-5.000,31.000,1095.000,-5,31,1095,0,0
38303155,-7.000,17.000,1109.000,-7,17,1109,0,0
38303908,-12.000,26.000,1090.000,-12,26,1090,0,0
38304659,-9.000,32.000,1098.000,-9,32,1098,0,0
38305412,-11.000,16.000,1102.000,-11,16,1102,0,0
38306171,-13.000,33.000,1090.000,-13,33,1090,0,0
38306924,-8.000,27.000,1108.000,-8,27,1108,0,0
38307676,-12.000,27.000,1103.000,-12,27,1103,0,0
38308428,-4.000,34.000,1098.000,-4,34,1098,0,0
38309180,-5.000,20.000,1105.000,-5,20,1105,0,0
38309932,-6.000,26.000,1090.000,-6,26,1090,0,0
38310683,-4.000,28.000,1100.000,-4,28,1100,0,0
38311435,-13.000,15.000,1109.000,-13,15,1109,0,0
38312186,-6.000,32.000,1093.000,-6,32,1093,0,0
38312938,-4.000,22.000,1114.000,-4,22,1114,0,0
38313690,-13.000,20.000,1102.000,-13,20,1102,0,0
38314442,-9.000,32.000,1096.000,-9,32,1096,0,0
38315194,-11.000,19.000,1117.000,-11,19,1117,0,0
38315946,-10.000,33.000,1095.000,-10,33,1095,0,0
38316698,-2.000,30.000,1098.000,-2,30,1098,0,0
38317449,-6.000,17.000,1104.000,-6,17,1104,0,0
38318209,-7.000,34.000,1085.000,-7,34,1085,0,0
38318961,-5.000,24.000,1111.000,-5,24,1111,0,0
38319712,-14.000,23.000,1099.000,-14,23,1099,0,0
38320463,-8.000,39.000,1090.000,-8,39,1090,0,0
38321216,-6.000,19.000,1117.000,-6,19,1117,0,0
38321966,-12.000,28.000,1092.000,-12,28,1092,0,0
38322718,-6.000,32.000,1097.000,-6,32,1097,0,0
38323470,-14.000,19.000,1108.000,-14,19,1108,0,0
38324222,-3.000,36.000,1088.000,-3,36,1088,0,0
38324974,-3.000,22.000,1105.000,-3,22,1105,0,0
38325726,-11.000,22.000,1093.000,-11,22,1093,0,0
38326478,-2.000,30.000,1091.000,-2,30,1091,0,0
38327230,-8.000,17.000,1103.000,-8,17,1103,0,0
38327983,-10.000,33.000,1089.000,-10,33,1089,0,0
38328741,-4.000,33.000,1096.000,-4,33,1096,0,0
38329492,-10.000,22.000,1099.000,-10,22,1099,0,0
38330244,-7.000,40.000,1085.000,-7,40,1085,0,0
38330996,-5.000,29.000,1097.000,-5,29,1097,0,0
38331748,-13.000,26.000,1094.000,-13,26,1094,0,0
38332500,-9.000,35.000,1093.000,-9,35,1093,0,0
38333252,-13.000,22.000,1109.000,-13,22,1109,0,0
38334004,-11.000,31.000,1091.000,-11,31,1091,0,0
38334756,-9.000,30.000,1100.000,-9,30,1100,0,0
38335507,-14.000,17.000,1101.000,-14,17,1101,0,0
38336258,-7.000,34.000,1091.000,-7,34,1091,0,0
38337010,-7.000,25.000,1106.000,-7,25,1106,0,0
38337761,-12.000,26.000,1088.000,-12,26,1088,0,0
38338513,-6.000,34.000,1095.000,-6,34,1095,0,0
38339273,-13.000,19.000,1104.000,-13,19,1104,0,0
38340024,-9.000,31.000,1081.000,-9,31,1081,0,0
38340773,-6.000,26.000,1101.000,-6,26,1101,0,0
38341525,-15.000,19.000,1107.000,-15,19,1107,0,0
38342276,-6.000,36.000,1091.000,-6,36,1091,0,0
38343027,-9.000,26.000,1110.000,-9,26,1110,0,0
38343779,-13.000,24.000,1099.000,-13,24,1099,0,0
38344531,-9.000,33.000,1091.000,-9,33,1091,0,0
38345283,-14.000,19.000,1110.000,-14,19,1110,0,0
38346035,-15.000,32.000,1091.000,-15,32,1091,0,0
38346794,-9.000,28.000,1104.000,-9,28,1104,0,0
38347546,-12.000,21.000,1105.000,-12,21,1105,0,0
38348297,-6.000,38.000,1093.000,-6,38,1093,0,0
38349048,-10.000,26.000,1111.000,-10,26,1111,0,0
38349799,-16.000,27.000,1093.000,-16,27,1093,0,0
38350551,-11.000,35.000,1099.000,-11,35,1099,0,0
38351302,-11.000,16.000,1113.000,-11,16,1113,0,0
38352055,-13.000,30.000,1095.000,-13,30,1095,0,0
38352806,-3.000,25.000,1106.000,-3,25,1106,0,0
38353559,-8.000,19.000,1107.000,-8,19,1107,0,0
38354311,-7.000,39.000,1094.000,-7,39,1094,0,0
38355063,-4.000,23.000,1113.000,-4,23,1113,0,0
38355815,-11.000,26.000,1095.000,-11,26,1095,0,0
38356567,-4.000,35.000,1090.000,-4,35,1090,0,0
38357326,-17.000,18.000,1107.000,-17,18,1107,0,0
38358079,-16.000,34.000,1087.000,-16,34,1087,0,0
38358830,-11.000,29.000,1100.000,-11,29,1100,0,0
38359583,-14.000,19.000,1101.000,-14,19,1101,0,0
38360334,-5.000,31.000,1083.000,-5,31,1083,0,0
38361086,-5.000,23.000,1104.000,-5,23,1104,0,0
38361838,-9.000,28.000,1094.000,-9,28,1094,0,0
38362590,-6.000,33.000,1093.000,-6,33,1093,0,0
38363343,-9.000,14.000,1108.000,-9,14,1108,0,0
38364095,-6.000,28.000,1093.000,-6,28,1093,0,0
38364846,-6.000,25.000,1109.000,-6,25,1109,0,0
38365598,-10.000,17.000,1107.000,-10,17,1107,0,0
38366350,-10.000,32.000,1090.000,-10,32,1090,0,0
38367102,-11.000,18.000,1109.000,-11,18,1109,0,0
38367853,-11.000,28.000,1096.000,-11,28,1096,0,0
38368613,-6.000,29.000,1094.000,-6,29,1094,0,0
38369364,-12.000,20.000,1104.000,-12,20,1104,0,0
38370115,-13.000,36.000,1085.000,-13,36,1085,0,0
38370866,-6.000,29.000,1111.000,-6,29,1111,0,0
38371618,-14.000,20.000,1117.000,-14,20,1117,0,0
38372369,-10.000,32.000,1098.000,-10,32,1098,0,0
38373120,-9.000,20.000,1112.000,-9,20,1112,0,0
38373879,-13.000,26.000,1093.000,-13,26,1093,0,0
38374631,-4.000,38.000,1099.000,-4,38,1099,0,0
38375383,-13.000,18.000,1111.000,-13,18,1111,0,0
38376135,-7.000,29.000,1090.000,-7,29,1090,0,0
38376886,1.000,24.000,1108.000,1,24,1108,0,0
38377637,-4.000,16.000,1096.000,-4,16,1096,0,0
38378389,-1.000,34.000,1080.000,-1,34,1080,0,0
38379141,-9.000,22.000,1100.000,-9,22,1100,0,0
38379899,-11.000,23.000,1089.000,-11,23,1089,0,0
38380649,-3.000,28.000,1091.000,-3,28,1091,0,0
38381401,-9.000,18.000,1106.000,-9,18,1106,0,0
38382152,-7.000,37.000,1082.000,-7,37,1082,0,0
38382904,-2.000,28.000,1105.000,-2,28,1105,0,0
38383656,-9.000,22.000,1105.000,-9,22,1105,0,0
38384408,-7.000,37.000,1090.000,-7,37,1090,0,0
38385166,-7.000,21.000,1105.000,-7,21,1105,0,0
38385919,-8.000,32.000,1087.000,-8,32,1087,0,0
38386670,-4.000,36.000,1098.000,-4,36,1098,0,0
38387423,-12.000,19.000,1110.000,-12,19,1110,0,0
38388175,-11.000,34.000,1083.000,-11,34,1083,0,0
38388927,-8.000,27.000,1104.000,-8,27,1104,0,0
38389678,-14.000,24.000,1093.000,-14,24,1093,0,0
38390431,-4.000,36.000,1094.000,-4,36,1094,0,0
38391183,-8.000,20.000,1108.000,-8,20,1108,0,0
38391934,-9.000,31.000,1092.000,-9,31,1092,0,0
38392693,-4.000,32.000,1098.000,-4,32,1098,0,0
38393444,-10.000,19.000,1103.000,-10,19,1103,0,0
38394196,-12.000,37.000,1085.000,-12,37,1085,0,0
38394947,-8.000,25.000,1102.000,-8,25,1102,0,0
38395699,-12.000,22.000,1098.000,-12,22,1098,0,0
