# STEVAL-MKI208V1K (IIS3DWB) 

time[us],acc_x[mg],acc_y[mg],acc_z[mg],acc_x[LSB],acc_y[LSB],acc_z[LSB],int_1
7155871,-68.442,185.806,1117.520,-1122,3046,18320,0
7155908,-78.568,207.888,1103.490,-1288,3408,18090,0
7155945,-62.464,203.862,1077.321,-1024,3342,17661,0
7155982,-16.531,181.719,1088.545,-271,2979,17845,0
7156020,-20.679,189.405,1057.252,-339,3105,17332,0
7156058,15.189,168.177,1043.710,249,2757,17110,0
7156095,15.616,169.092,1029.680,256,2772,16880,0
7156132,28.060,149.694,1021.262,460,2454,16742,0
7156169,10.126,144.204,1014.735,166,2364,16635,0
7156207,31.232,114.375,1011.441,512,1875,16581,0
7156243,28.487,81.435,1003.999,467,1335,16459,0
7156280,31.720,57.950,990.884,520,950,16244,0
7156320,13.298,21.777,968.070,218,357,15870,0
7156354,-2.745,14.152,981.612,-45,232,16092,0
7156395,28.975,-25.193,947.025,475,-413,15525,0
7156429,25.254,-50.508,977.830,414,-828,16030,0
7156465,19.276,-97.478,965.264,316,-1598,15824,0
7156503,40.016,-110.593,960.140,656,-1813,15740,0
7156540,38.613,-131.821,933.483,633,-2161,15303,0
7156577,44.103,-139.507,973.194,723,-2287,15954,0
7156614,63.379,-137.250,940.986,1039,-2250,15426,0
7156651,53.741,-152.134,963.800,881,-2494,15800,0
7156689,80.886,-148.962,953.064,1326,-2442,15624,0
7156726,66.124,-176.534,962.397,1084,-2894,15777,0
7156762,53.741,-177.022,956.358,881,-2902,15678,0
7156800,87.291,-157.136,964.776,1431,-2576,15816,0
7156837,115.290,-166.652,965.264,1890,-2732,15824,0
7156875,108.458,-175.192,1001.254,1778,-2872,16414,0
7156911,88.206,-190.564,994.666,1446,-3124,16306,0
7156949,98.332,-206.790,1023.641,1612,-3390,16781,0
7156986,73.078,-197.274,1010.526,1198,-3234,16566,0
7157023,54.656,-205.448,1035.292,896,-3368,16972,0
7157062,28.975,-197.335,1041.392,475,-3235,17072,0
7157099,28.060,-206.363,1080.127,460,-3383,17707,0
7157135,20.191,-190.991,1062.376,331,-3131,17416,0
7157174,25.742,-203.679,1085.739,422,-3339,17799,0
7157211,34.892,-183.366,1099.281,572,-3006,18021,0
7157246,17.446,-162.992,1112.823,286,-2672,18243,0
7157283,24.827,-134.078,1107.211,407,-2198,18151,0
7157323,1.830,-120.963,1151.558,30,-1983,18878,0
7157360,11.041,-82.594,1141.798,181,-1354,18718,0
7157395,8.296,-67.222,1145.946,136,-1102,18786,0
7157432,-5.978,-39.650,1134.295,-98,-650,18595,0
7157469,11.468,34.404,1142.713,188,564,18733,0
7157507,-14.701,58.377,1133.807,-241,957,18587,0
7157544,-28.975,60.207,1153.937,-475,987,18917,0
7157581,-30.317,99.918,1144.543,-497,1638,18763,0
7157619,-25.254,131.577,1144.116,-414,2157,18756,0
7157655,-55.571,133.346,1153.449,-911,2186,18909,0
7157692,-52.338,165.005,1158.146,-858,2705,18986,0
7157730,-58.804,156.404,1147.837,-964,2564,18817,0
7157766,-74.908,181.292,1151.070,-1228,2972,18870,0
7157805,-55.571,173.606,1139.419,-911,2846,18679,0
7157842,-70.272,177.632,1117.947,-1152,2912,18327,0
7157878,-61.061,199.348,1111.908,-1001,3268,18228,0
7157916,-46.848,209.718,1088.057,-768,3438,17837,0
7157952,-46.848,189.893,1100.196,-768,3113,18036,0
7157990,-27.572,212.890,1059.570,-452,3490,17370,0
7158028,-1.830,186.233,1077.809,-30,3053,17669,0
7158064,10.126,172.264,1027.362,166,2824,16842,0
7158102,38.552,151.463,1045.540,632,2483,17140,0
7158138,5.490,150.548,1036.695,90,2468,16995,0
7158175,39.040,130.662,1016.138,640,2142,16658,0
7158214,27.084,108.580,1012.356,444,1780,16596,0
7158252,23.424,85.949,994.666,384,1409,16306,0
7158287,26.657,52.094,981.124,437,854,16084,0
7158324,5.978,17.751,972.706,98,291,15946,0
7158361,25.742,3.294,972.706,422,54,15946,0
7158398,15.189,-26.108,963.373,249,-428,15793,0
7158436,19.276,-71.248,969.412,316,-1168,15892,0
7158473,16.104,-101.077,951.234,264,-1657,15594,0
7158513,37.637,-119.194,959.164,617,-1954,15724,0
7158549,32.635,-141.764,959.652,535,-2324,15732,0
7158585,33.062,-143.960,945.622,542,-2360,15502,0
